ALICE::Bari::CREAM,63
ALICE::Bratislava::LCG,54
ALICE::CCIN2P3::HTC,527
ALICE::CCIN2P3::LCGSGE2,
ALICE::CCIPL::SLURM,
ALICE::CERN::Altaria,
ALICE::CERN::CERN-AURORA,
ALICE::CERN::CERN-CORONA,
ALICE::CERN::CERN-MIRAGE,
ALICE::CERN::CERN-SIRIUS,
ALICE::CERN::CERN-TRITON,
ALICE::CERN::CERN-ZENITH,
ALICE::CERN::Polaris,
ALICE::Cibinong::LCG,12
ALICE::Clermont::LCG,131
ALICE::CNAF::CNAF-DUE,546
ALICE::CNAF::CNAF-HTC,
ALICE::CNAF::LCG,119
ALICE::COMSATS::LCG,
ALICE::DCSC_KU::ARC,37
ALICE::FZK::ARC,886
ALICE::FZK::LCG,862
ALICE::Grenoble::LCG,57
ALICE::GRIF_IPNO::HTC,62
ALICE::GRIF_IRFU::ARC,87
ALICE::GSI::GSI,82
ALICE::HIP::SLURM,
ALICE::Hiroshima::Hiroshima,
ALICE::ICM::LCG,9
ALICE::IHEP::LCG,132
ALICE::IPNL::LCG,36
ALICE::ISS::PBS,1
ALICE::ITEP::LCG,5
ALICE::JINR::LCG,175
ALICE::KFKI::LCG,111
ALICE::KISTI_GSDC::KISTI_GSDC,
ALICE::KISTI_GSDC::KISTI_GSDC_HTC,113
ALICE::Kolkata::Kolkata-CREAM,13
ALICE::Kosice::ARC,54
ALICE::LBL_HPCS::HPCS,66
ALICE::Legnaro::LCG,90
ALICE::LUNARC::SLURM,20
ALICE::NIHAM::PBS,180
ALICE::NIHAM::PBS64,
ALICE::NIKHEF::LCG,278
ALICE::NIPNE::ARC,100
ALICE::ORNL::LCG,96
ALICE::Oxford::ARC,37
ALICE::PNPI::LCG,29
ALICE::Prague::LCG,201
ALICE::Prague::Prague-CREAM,
ALICE::RAL::LCG,1020
ALICE::RRC-KI::LCG,4
ALICE::RRC_KI_T1::LCG,141
ALICE::SaoPaulo::LCG_HTC,29
ALICE::SARA::LCG,162
ALICE::SARFTI::LCG,2
ALICE::SNIC::SLURM,92
ALICE::Strasbourg_IRES::LCG,94
ALICE::Subatech::LCG,49
ALICE::SUT::CREAM,
ALICE::Torino::Torino-CREAM,73
ALICE::Troitsk::LCG,1
ALICE::UiB::SLURM,125
ALICE::UPB::LCG,137
ALICE::Vienna::LCG,5
ALICE::ZA_CHPC::ZA_CHPC,44
